TransactionID;FoodItem
85;Cappuccino
85;Kopi Tubruk
85;Macchiato
85;Macchiato
85;Macchiato
85;Nasi Putih
85;Rawon
85;Soto Ayam
86;Fresh Orange Juice
86;Mineral Water
86;Nasi Putih
86;Nasi Putih
86;Soto Ayam
86;Soto Ayam
87;Kopi Tubruk
87;Nasi Putih
87;Soto Ayam
88;Cappuccino
88;Roti Bakar
89;Extra Kerupuk Putih
89;Kopi Tubruk
89;Mineral Water
89;Mineral Water
89;Nasi Goreng Jawa
89;Nasi Putih
89;Nasi Putih
89;Soto Ayam
89;Mineral Water
90;Cappuccino
90;Latte
91;Macchiato
92;Latte
93;Bakmi Godog Keju
93;Latte
93;Macchiato
93;Macchiato
93;Teh Tubruk
94;Bakmi Goreng Jawa
94;Macchiato
94;Mineral Water
94;Rawon
94;Teh Tarik
94;Teh Tarik
95;Macchiato
95;Nasi Putih
95;Nasi Putih
95;Rawon
95;Soto Ayam
96;Roti Bakar
96;Spaghetti Bolognese
96;Teh Tarik
96;Fresh Orange Juice
97;Fresh Orange Juice
97;Mineral Water
97;Mineral Water
97;Mineral Water
97;Nasi Putih
97;Nasi Putih
97;Nasi Putih
97;Rawon
97;Soto Ayam
98;Latte
98;Teh Tarik
99;Bakmi Goreng Jawa
99;Extra Kerupuk Putih
99;Fresh Orange Juice
99;Kopi Tubruk
99;Kopi Tubruk
99;Latte
99;Macchiato
99;Macchiato
99;Macchiato
99;Nasi Goreng Jawa
99;Nasi Putih
99;Nasi Putih
99;Rawon
99;Soto Ayam
99;Soto Ayam
99;Teh Tarik
99;Mineral Water
100;Kopi Tubruk
100;Latte
100;Latte
100;Rawon
101;Cappuccino
101;Cappuccino
101;Macchiato
102;Macchiato
102;Macchiato
102;Nasi Goreng Jawa
102;Mineral Water
104;Latte
104;Latte
104;Rawon
105;Latte
106;Bakmi Godog Keju
106;Bakmi Godog Keju
106;Cappuccino
106;Macchiato
106;Teh Tubruk
106;Teh Tubruk
107;Kopi Tubruk
107;Macchiato
107;Macchiato
107;Mineral Water
107;Nasi Goreng Jawa
107;Nasi Putih
107;Nasi Putih
107;Pisang Goreng
107;Teh Tarik
107;Teh Tubruk
107;Teh Tubruk
107;Mineral Water
108;Bakmi Godog Keju
108;French Fries
108;Fresh Orange Juice
108;Hot/Ice Lemon Tea
108;Nasi Goreng Jawa
108;Pisang Goreng
108;Pisang Goreng
108;Pisang Goreng
108;Rawon
108;Roti Bakar
108;Roti Bakar
108;Roti Bakar
108;Teh Tubruk
108;Teh Tubruk
108;Teh Tubruk
108;Teh Tubruk
108;Mineral Water
109;Kopi Tubruk
109;Macchiato
109;Macchiato
109;Macchiato
109;Macchiato
110;Nasi Putih
110;Nasi Putih
110;Nasi Putih
110;Soto Ayam
110;Soto Ayam
110;Soto Ayam
111;Espresso
111;Macchiato
112;Bakmi Goreng Jawa
112;Nasi Goreng Jawa
112;Mineral Water
114;Americano
114;Kopi Tubruk
116;Macchiato
116;Nasi Putih
116;Nasi Putih
116;Soto Ayam
119;Fresh Orange Juice
119;Macchiato
119;Macchiato
119;Macchiato
119;Rawon
119;Rawon
119;Roti Bakar
119;Roti Bakar
119;Roti Bakar
119;Spaghetti Bolognese
119;Teh Tubruk
119;Fresh Orange Juice
120;Nasi Putih
120;Soto Ayam
121;Rawon
121;Rawon
121;Spaghetti Bolognese
121;Fresh Orange Juice
122;Macchiato
122;Mineral Water
122;Nasi Putih
122;Nasi Putih
122;Pisang Goreng
122;Roti Bakar
122;Roti Bakar
123;Nasi Putih
123;Spaghetti Bolognese
123;Teh Tarik
123;Fresh Orange Juice
124;Teh Tarik
124;Teh Tubruk
124;Teh Tubruk
125;Nasi Putih
125;Soto Ayam
126;Bakmi Goreng Jawa
126;Espresso
126;Latte
126;Macchiato
126;Macchiato
126;Macchiato
